Sexo	Grupos y subgrupos principales de la CNO-11	Media y percentiles	Periodo	Total
Ambos sexos	55 Cajeros y taquilleros (excepto bancos)	Media	2018	16.784,98
Ambos sexos	55 Cajeros y taquilleros (excepto bancos)	Percentil 10	2018	9.317,23
Ambos sexos	55 Cajeros y taquilleros (excepto bancos)	Percentil 25	2018	12.285,4
Ambos sexos	55 Cajeros y taquilleros (excepto bancos)	Percentil 50	2018	16.197,77
Ambos sexos	55 Cajeros y taquilleros (excepto bancos)	Percentil 75	2018	20.286,65
Ambos sexos	55 Cajeros y taquilleros (excepto bancos)	Percentil 90	2018	25.202,06
Ambos sexos	H Trabajadores de los servicios de salud y el cuidado de personas	Media	2018	15.863,27
Ambos sexos	H Trabajadores de los servicios de salud y el cuidado de personas	Percentil 10	2018	5.440,56
Ambos sexos	H Trabajadores de los servicios de salud y el cuidado de personas	Percentil 25	2018	9.749,74
Ambos sexos	H Trabajadores de los servicios de salud y el cuidado de personas	Percentil 50	2018	14.603,99
Ambos sexos	H Trabajadores de los servicios de salud y el cuidado de personas	Percentil 75	2018	20.966,57
Ambos sexos	H Trabajadores de los servicios de salud y el cuidado de personas	Percentil 90	2018	26.404,59
Ambos sexos	56 Trabajadores de los cuidados a las personas en servicios de salud	Media	2018	18.197,58
Ambos sexos	56 Trabajadores de los cuidados a las personas en servicios de salud	Percentil 10	2018	10.215,37
Ambos sexos	56 Trabajadores de los cuidados a las personas en servicios de salud	Percentil 25	2018	14.006
Ambos sexos	56 Trabajadores de los cuidados a las personas en servicios de salud	Percentil 50	2018	17.614,51
Ambos sexos	56 Trabajadores de los cuidados a las personas en servicios de salud	Percentil 75	2018	22.370,28
Ambos sexos	56 Trabajadores de los cuidados a las personas en servicios de salud	Percentil 90	2018	26.375,2
Ambos sexos	57 Otros trabajadores de los cuidados a las personas	Media	2018	9.124,24
Ambos sexos	57 Otros trabajadores de los cuidados a las personas	Percentil 10	2018	3.364,38
Ambos sexos	57 Otros trabajadores de los cuidados a las personas	Percentil 25	2018	4.815,59
Ambos sexos	57 Otros trabajadores de los cuidados a las personas	Percentil 50	2018	7.340,86
Ambos sexos	57 Otros trabajadores de los cuidados a las personas	Percentil 75	2018	12.349,42
Ambos sexos	57 Otros trabajadores de los cuidados a las personas	Percentil 90	2018	16.463,43
Ambos sexos	58 Trabajadores de los servicios personales	Media	2018	17.640,66
Ambos sexos	58 Trabajadores de los servicios personales	Percentil 10	2018	6.827,24
Ambos sexos	58 Trabajadores de los servicios personales	Percentil 25	2018	10.838,54
Ambos sexos	58 Trabajadores de los servicios personales	Percentil 50	2018	14.304,32
